Date,Close,High,Low,Shares_Traded,Turnover
2016-04-27,7979.9,7991.0,7940.55,213174058.0,9669.04
2016-04-28,7847.25,7992.0,7834.45,301485186.0,14943.3
2016-04-29,7849.8,7889.05,7788.7,251227047.0,9872.58
2016-05-02,7805.9,7829.8,7777.3,150818181.0,6079.16
2016-05-03,7747.0,7890.25,7735.15,192271370.0,8536.83
2016-05-04,7706.55,7749.0,7697.25,205939089.0,7816.27
2016-05-05,7735.5,7777.55,7706.85,190792828.0,8089.45
2016-05-06,7733.45,7738.9,7678.35,168662226.0,6296.51
2016-05-09,7866.05,7873.65,7753.55,165616829.0,7559.77
2016-05-10,7887.8,7896.9,7837.7,166957276.0,7306.72
2016-05-11,7848.85,7893.1,7780.9,220712496.0,9394.05
2016-05-12,7900.4,7916.05,7849.65,157444918.0,7171.91
2016-05-13,7814.9,7881.0,7784.2,185061782.0,10152.08
2016-05-16,7860.75,7873.9,7772.15,211547775.0,7790.24
2016-05-17,7890.75,7940.1,7879.7,189140810.0,8195.95
2016-05-18,7870.15,7882.05,7810.75,161169418.0,7333.13
2016-05-19,7783.4,7876.2,7766.8,175711829.0,7163.38
2016-05-20,7749.7,7812.4,7735.75,161889432.0,6798.89
2016-05-23,7731.05,7820.6,7722.2,177347948.0,7141.74
2016-05-24,7748.85,7761.55,7715.8,151538169.0,6119.23
2016-05-25,7934.9,7941.2,7809.3,181636649.0,8202.39
2016-05-26,8069.65,8083.0,7948.5,272456307.0,12422.0
2016-05-27,8156.65,8164.2,8077.05,268963949.0,10607.22
2016-05-30,8178.5,8200.0,8150.8,255086293.0,9199.38
2016-05-31,8160.1,8213.6,8134.3,485645737.0,21491.53
2016-06-01,8179.95,8215.35,8171.05,200371829.0,8408.53
2016-06-02,8218.95,8229.5,8154.75,187316365.0,8389.69
2016-06-03,8220.8,8262.0,8209.85,390652017.0,10762.52
2016-06-06,8201.05,8234.7,8186.05,176885226.0,7657.92
2016-06-07,8266.45,8294.95,8216.4,249365706.0,10462.49
2016-06-08,8273.05,8288.9,8252.05,179710369.0,7614.02
2016-06-09,8203.6,8273.35,8184.6,180293039.0,7973.1
2016-06-10,8170.05,8265.6,8162.85,187757375.0,7853.83
2016-06-13,8110.6,8125.25,8063.9,174916286.0,7343.99
2016-06-14,8108.85,8134.95,8069.5,150042362.0,6003.23
2016-06-15,8206.6,8213.2,8123.15,174953935.0,6945.89
2016-06-16,8140.75,8180.65,8074.45,195028743.0,7764.57
2016-06-17,8170.2,8195.25,8135.8,171842760.0,7741.9
2016-06-20,8238.5,8244.15,8107.35,173750792.0,7392.97
2016-06-21,8219.9,8257.25,8202.15,141161921.0,5978.26
2016-06-22,8203.7,8238.35,8153.25,140268297.0,6377.69
2016-06-23,8270.45,8285.6,8188.3,158852677.0,6805.86
2016-06-24,8088.6,8100.7,7927.05,306803641.0,13263.08
2016-06-27,8094.7,8120.65,8039.35,167462711.0,7614.06
2016-06-28,8127.85,8146.35,8086.85,175724276.0,7777.39
2016-06-29,8204.0,8212.4,8157.65,151499716.0,6940.87
2016-06-30,8287.75,8308.15,8242.1,288031935.0,12346.32
2016-07-01,8328.35,8356.75,8308.65,170581881.0,7358.38
2016-07-04,8370.7,8398.45,8364.7,158955823.0,6662.92
2016-07-05,8335.95,8381.45,8319.95,143253937.0,5976.01
2016-07-07,8337.9,8361.95,8317.7,160327315.0,7592.94
2016-07-08,8323.2,8353.3,8287.55,142159935.0,6886.33
2016-07-11,8467.9,8475.25,8407.05,154399933.0,7576.69
2016-07-12,8521.05,8526.6,8479.2,189339750.0,7873.74
2016-07-13,8519.5,8550.25,8493.55,201492184.0,8284.38
2016-07-14,8565.0,8571.4,8500.7,158738499.0,6890.07
2016-07-15,8541.4,8594.8,8510.05,228598684.0,12375.84
2016-07-18,8508.7,8587.1,8494.35,169400452.0,8200.06
2016-07-19,8528.55,8540.05,8476.7,173050805.0,7928.14
2016-07-20,8565.85,8569.9,8512.55,165349380.0,7936.36
2016-07-21,8510.1,8585.25,8503.45,154575685.0,7399.71
2016-07-22,8541.2,8548.95,8489.8,147619642.0,6504.0
2016-07-25,8635.65,8641.15,8517.2,154631398.0,7850.12
2016-07-26,8590.65,8644.9,8577.15,159563469.0,8765.45
2016-07-27,8615.8,8665.0,8572.05,189796380.0,10885.88
2016-07-28,8666.3,8674.7,8625.25,240721865.0,12998.06
2016-07-29,8638.5,8670.35,8631.15,161935155.0,8428.8
2016-08-01,8636.55,8711.3,8590.5,194186858.0,9881.67
2016-08-02,8622.9,8687.2,8611.4,174556789.0,8652.31
2016-08-03,8544.85,8635.45,8529.6,168033073.0,8507.82
2016-08-04,8551.1,8601.4,8518.15,169780463.0,7399.03
2016-08-05,8683.15,8689.4,8590.15,162784913.0,7635.01
2016-08-08,8711.35,8723.5,8697.6,177877012.0,7862.15
2016-08-09,8678.25,8728.35,8638.2,206261255.0,9111.4
2016-08-10,8575.3,8690.1,8564.6,178963496.0,8206.18
2016-08-11,8592.15,8601.15,8540.05,195114539.0,8634.8
2016-08-12,8672.15,8684.3,8604.45,272014034.0,11998.86
2016-08-16,8642.55,8682.35,8600.45,231771409.0,10937.35
2016-08-17,8624.05,8667.1,8603.6,179540691.0,8161.38
2016-08-18,8673.25,8690.7,8645.05,169431656.0,7900.6
2016-08-19,8666.9,8696.6,8647.1,197770568.0,8354.88
2016-08-22,8629.15,8684.85,8614.0,156976546.0,7394.57
2016-08-23,8632.6,8642.15,8580.0,193302503.0,7309.82
2016-08-24,8650.3,8661.05,8620.9,154168043.0,7199.72
2016-08-25,8592.2,8683.05,8583.65,219736214.0,10508.32
2016-08-26,8572.55,8622.95,8547.55,152146666.0,7153.37
2016-08-29,8607.45,8622.0,8543.75,133723771.0,6857.99
2016-08-30,8744.35,8750.6,8642.25,154828719.0,8392.76
2016-08-31,8786.2,8819.2,8754.05,373422334.0,22534.29
2016-09-01,8774.65,8813.25,8759.95,246336047.0,9653.93
2016-09-02,8809.65,8824.1,8768.2,197385217.0,8231.93
2016-09-06,8943.0,8950.85,8848.45,201617132.0,9571.31
2016-09-07,8917.95,8968.7,8913.35,299145644.0,11430.95
2016-09-08,8952.5,8960.35,8896.0,223937056.0,10773.98
2016-09-09,8866.7,8939.15,8858.7,181344327.0,9976.28
2016-09-12,8715.6,8746.95,8699.4,190199613.0,9248.73
2016-09-14,8726.6,8739.85,8688.9,189984289.0,9112.57
2016-09-15,8742.55,8751.95,8704.35,149889703.0,7347.34
2016-09-16,8779.85,8847.65,8750.5,274039556.0,14430.63
2016-09-19,8808.4,8824.3,8774.2,135814177.0,7364.64
2016-09-20,8775.9,8816.45,8759.3,140718486.0,7035.07
2016-09-21,8777.15,8826.85,8757.3,153441330.0,7572.41
2016-09-22,8867.45,8893.35,8837.8,178136644.0,9305.56
2016-09-23,8831.55,8885.2,8820.3,191618169.0,9793.98
2016-09-26,8723.05,8809.55,8715.1,169050086.0,8518.5
2016-09-27,8706.4,8768.5,8690.5,156100521.0,7446.12
2016-09-28,8745.15,8767.05,8703.15,170643694.0,8348.19
2016-09-29,8591.25,8800.65,8558.25,384395249.0,19467.3
2016-09-30,8611.15,8637.15,8555.2,187333285.0,8849.27
2016-10-03,8738.1,8745.2,8635.0,141472076.0,7173.62
2016-10-04,8769.15,8783.65,8736.1,189990151.0,8251.59
2016-10-05,8743.95,8806.95,8731.4,162103951.0,6866.33
2016-10-06,8709.55,8781.15,8684.65,168713605.0,8114.93
2016-10-07,8697.6,8723.7,8663.8,155053800.0,8144.3
2016-10-10,8708.8,8745.8,8703.95,111794053.0,5159.83
2016-10-13,8573.35,8681.55,8541.35,218861324.0,10581.55
2016-10-14,8583.4,8604.45,8549.8,167848947.0,9613.47
2016-10-17,8520.4,8615.4,8506.15,203516577.0,8590.35
2016-10-18,8677.9,8685.1,8555.9,216626083.0,9162.11
