Date,Close,High,Low,Shares_Traded,Turnover,log_return,range_volatility
2014-10-13,7884.25,7901.15,7796.0,1.18781369E8,6584.44,0.003086853481986172,1.7949399374586164E-4
2014-10-14,7864.0,7928.0,7825.45,2.25472732E8,7709.0,-0.0025717157348472356,1.695087933314209E-4
2014-10-16,7748.2,7893.9,7729.65,2.13529479E8,9087.06,-0.014834824520207252,4.421232009930241E-4
2014-10-17,7779.7,7819.2,7723.85,1.77623196E8,9626.9,0.004057218710859095,1.5053579968104237E-4
2014-10-20,7879.4,7905.95,7856.95,1.76171562E8,8357.41,0.012733981803331414,3.865295564542141E-5
2014-10-21,7927.75,7936.6,7874.35,1.63403385E8,8432.94,0.0061175038873991505,6.200507831619291E-5
2014-10-22,7995.9,8005.0,7974.55,1.51104463E8,7301.77,0.008559647580575275,1.4524679117080976E-5
2014-10-23,8014.55,8031.75,8008.85,1.9640498E7,915.37,0.0023297294498851014,8.152490998516785E-6
2014-10-27,7991.7,8064.4,7985.65,1.32824881E8,6511.8,-0.0028551366525443466,9.62975653317499E-5
2014-10-28,8027.6,8037.8,7995.05,1.24058566E8,6993.84,0.004482100978227324,2.843890228955522E-5
2014-10-29,8090.45,8097.95,8052.25,1.48313096E8,7406.0,0.007798749668480464,3.202866964283933E-5
2014-10-30,8169.2,8181.55,8085.2,2.05666559E8,11023.46,0.00968663110999424,1.403369400680918E-4
2014-10-31,8322.2,8330.75,8198.05,1.76165086E8,9450.53,0.018555658095554397,2.578326129671284E-4
2014-11-03,8324.15,8350.6,8297.65,1.41090166E8,7439.54,2.342855952107104E-4,4.046296201069092E-5
2014-11-05,8338.3,8365.55,8323.5,1.61614922E8,9021.74,0.0016984301109980806,2.539396975952007E-5
2014-11-07,8337.0,8360.35,8290.25,1.53433693E8,11379.2,-1.5591923415268414E-4,7.08992079466555E-5
2014-11-10,8344.25,8383.05,8304.45,1.30749013E8,6932.28,8.692394702429653E-4,8.874194626403193E-5
2014-11-11,8362.65,8378.7,8321.85,1.2201084E8,6559.73,0.0022026836144884545,4.635138721541092E-5
2014-11-12,8383.3,8415.05,8370.5,1.2524333E8,6535.31,0.002466269213384744,2.817645134856836E-5
2014-11-13,8357.85,8408.0,8320.35,1.27361048E8,6511.91,-0.0030404147391592455,1.0981598667170035E-4
2014-11-14,8389.9,8400.65,8346.8,1.4676858E8,7849.19,0.003827384469517981,4.135585655593562E-5
2014-11-17,8430.75,8438.1,8349.1,1.13879138E8,7270.5,0.004857134570927836,1.1243243424130357E-4
2014-11-18,8425.9,8454.5,8407.25,1.34678948E8,7323.18,-5.754405690137999E-4,3.1409469302462394E-5
2014-11-19,8382.3,8455.65,8360.5,1.25399132E8,6997.58,-0.0051879556157946064,1.2806595753311732E-4
2014-11-20,8401.9,8410.85,8353.15,1.22775989E8,6218.34,0.0023355309051787624,4.73870576398005E-5
2014-11-21,8477.35,8489.8,8398.6,1.37015453E8,7889.99,0.008940030217262439,1.1664902093019883E-4
2014-11-24,8530.15,8534.65,8490.8,1.40657508E8,7180.3,0.006209045377599953,2.653407229971492E-5
2014-11-25,8463.1,8535.35,8429.45,2.71914173E8,12210.62,-0.007891409584104565,1.5587113781488009E-4
2014-11-26,8475.75,8500.3,8438.65,1.51922494E8,7123.76,0.0014936081672254514,5.298549747527823E-5
2014-11-27,8494.2,8506.75,8456.35,1.94298604E8,9556.05,0.0021744327201368174,3.531125681726678E-5
2014-11-28,8588.25,8617.0,8516.25,1.97214619E8,10053.47,0.011011412333051798,1.3831860773014866E-4
2014-12-01,8555.9,8623.0,8545.15,1.51990638E8,8565.14,-0.003773886532098854,8.225005183720577E-5
2014-12-02,8524.7,8560.2,8504.65,1.37386984E8,6753.13,-0.0036532715127820387,4.238637104172739E-5
2014-12-03,8537.65,8546.95,8508.35,1.53199341E8,7664.86,0.0015179623541452013,2.048883937441027E-5
2014-12-04,8564.4,8626.95,8526.4,1.4347723E8,6687.99,0.0031282824941991166,1.3744729322622036E-4
2014-12-05,8538.3,8588.35,8523.9,1.43345553E8,6452.4,-0.0030521520299715325,5.674083321461951E-5
2014-12-08,8438.25,8546.35,8432.25,1.63819529E8,13929.39,-0.011786983615759453,1.80651096616627E-4
2014-12-09,8340.7,8444.5,8330.5,1.46266705E8,7115.31,-0.011627795434946306,1.8473875309960315E-4
2014-12-10,8355.65,8376.8,8317.0,1.36656345E8,6738.18,0.0017908110449759277,5.1328156008969964E-5
2014-12-11,8292.9,8348.3,8272.4,1.33862999E8,6718.85,-0.007538229713293805,8.341630715035886E-5
2014-12-12,8224.1,8321.9,8216.3,1.38080911E8,6894.03,-0.008330858861932928,1.6308843042396213E-4
2014-12-15,8219.6,8242.4,8152.5,1.37140608E8,6720.94,-5.473220883785565E-4,1.2027366257883169E-4
2014-12-16,8067.6,8189.35,8052.6,1.97337631E8,8920.29,-0.018665505802723793,2.835690629017042E-4
2014-12-17,8029.8,8082.0,7961.35,2.16216145E8,9966.02,-0.004696419232607601,2.2622515897321335E-4
2014-12-18,8159.3,8174.3,8084.9,1.62112021E8,7352.6,0.0159987599343588,1.2093316964503678E-4
2014-12-19,8225.2,8263.45,8208.6,1.74796496E8,8246.76,0.008044231482620805,4.4352812215022207E-5
2014-12-22,8324.0,8330.95,8228.2,1.39159658E8,5745.04,0.011940296066161682,1.540134749528768E-4
2014-12-23,8267.0,8364.75,8252.85,1.32190368E8,5629.52,-0.006871222260849433,1.8138304622801403E-4
2014-12-24,8174.1,8286.4,8155.25,2.21905876E8,11229.76,-0.011301067290881468,2.5452134281655966E-4
2014-12-26,8200.7,8234.55,8147.95,7.5528707E7,2995.12,0.0032488975007518147,1.1177469991456927E-4
2014-12-29,8246.3,8279.15,8214.7,8.2086035E7,3340.07,0.005545098418286741,6.107537949879256E-5
2014-12-30,8248.25,8268.25,8220.55,7.769577E7,3460.46,2.3644173488641823E-4,3.347503747191477E-5
2014-12-31,8282.7,8291.0,8243.75,8.45326E7,4221.32,0.004167945565311592,3.26641014296164E-5
2015-01-01,8284.0,8294.7,8248.75,5.6560411E7,2321.88,1.569413344440855E-4,3.085894611047126E-5
2015-01-02,8395.45,8410.6,8288.7,1.01887024E8,4715.72,0.013363948894877683,2.1315047122547837E-4
